asset_id,location_id,description,consumable,manufacturer,model,serial_number,vehicle_name,vehicle_type,side,row,bin,last_audited_at
68863178,23856522,Impact Wrench,0,Makita,XWT08Z,IMPACT-001,Truck T-100,Truck,Left,1,1,None
07445711,71859408,Impact Wrench,0,Goodyear,T83006,IMP-00005,Truck T-100,Truck,Front,1,1,None
80405321,23856522,Impact Wrench,0,DeWalt,XWT08Z,IMP-00034,Truck T-100,Truck,Left,1,1,None
86212617,36139269,Impact Wrench,1,Torin,XWT08Z,IMP-00051,Trailer TR-200,Trailer,Left,2,2,None
64760400,43489304,Impact Wrench,0,DeWalt,T83006,IMP-00074,Trailer TR-200,Trailer,Rear,1,1,None
83701432,03383066,Impact Wrench,1,WIX,51348,IMP-00110,Trailer TR-200,Trailer,Right,2,2,None
11394898,71859408,Impact Wrench,1,Torin,T83006,IMP-00122,Truck T-100,Truck,Front,1,1,None
81205535,43146478,Impact Wrench,0,DeWalt,51348,IMP-00149,Truck T-100,Truck,Left,2,2,None
07946293,18965572,Impact Wrench,0,DeWalt,T83006,IMP-00151,Trailer TR-200,Trailer,Front,1,1,None
40505894,43146478,Impact Wrench,0,Makita,M18,IMP-00168,Truck T-100,Truck,Left,2,2,None
06001924,23856522,Impact Wrench,1,Makita,DCD999,IMP-00184,Truck T-100,Truck,Left,1,1,None
40775612,43489304,Impact Wrench,0,Bosch,Wrangler,IMP-00202,Trailer TR-200,Trailer,Rear,1,1,None
17756824,41255850,Impact Wrench,0,DeWalt,XWT08Z,IMP-00312,Truck T-100,Truck,Front,2,2,None
42558559,41255850,Impact Wrench,1,Milwaukee,T83006,IMP-00322,Truck T-100,Truck,Front,2,2,None
59730461,70165340,Impact Wrench,1,Torin,GSR18V,IMP-00364,Trailer TR-200,Trailer,Rear,2,2,None
09937139,53281456,Impact Wrench,1,Bosch,XWT08Z,IMP-00365,Trailer TR-200,Trailer,Left,1,1,None
08734176,70165340,Impact Wrench,0,Makita,XWT08Z,IMP-00380,Trailer TR-200,Trailer,Rear,2,2,None
71840749,60864732,Impact Wrench,0,WIX,DCD999,IMP-00413,Truck T-100,Truck,Right,2,2,None
70522501,43146478,Impact Wrench,1,Goodyear,DCD999,IMP-00423,Truck T-100,Truck,Left,2,2,None
41500305,36139269,Impact Wrench,1,Goodyear,DCD999,IMP-00478,Trailer TR-200,Trailer,Left,2,2,None
03779703,36139269,Impact Wrench,0,Torin,M18,IMP-00479,Trailer TR-200,Trailer,Left,2,2,None
19116583,43146478,Impact Wrench,1,WIX,M18,IMP-00484,Truck T-100,Truck,Left,2,2,None
60201133,41255850,Impact Wrench,1,Milwaukee,T83006,IMP-00486,Truck T-100,Truck,Front,2,2,None
24997973,74976471,Impact Wrench,1,Bosch,XWT08Z,IMP-00036,Truck T-100,Truck,Rear,1,1,None
53478210,03383066,Impact Wrench,1,Milwaukee,XWT08Z,IMP-00093,Trailer TR-200,Trailer,Right,2,2,None
61227587,74976471,Impact Wrench,1,Goodyear,DCD999,IMP-00100,Truck T-100,Truck,Rear,1,1,None
87200565,53281456,Impact Wrench,1,Torin,DCD999,IMP-00103,Trailer TR-200,Trailer,Left,1,1,None
78045070,60864732,Impact Wrench,0,DeWalt,GSR18V,IMP-00113,Truck T-100,Truck,Right,2,2,None
